"","name","Base Currency","ISIN","secid","Global Broad Category Group","Morningstar Category","Firm Investment Objective","Strategy Name","Domicile","Fund Legal Structure","Firm Name","Branding Name","Inception Date","Obsolete Date","Status","Manager Name","Manager History","Manager Tenure (Longest)","Manager Tenure (Average)","Primary Prospectus Benchmark","Net Assets Date","Net Assets - Share Class USD","Fund Size Date","Fund Size USD","Portfolio Date","Turnover Ratio % Date","Turnover Ratio %","...28","Gender","Start Date for Managed Investment","Lockup Months","Minimum Investment (Base Currency)","Minimum Initial Unit","Uses Leverage","Avg Leverage","Management Fee","Max Management Fee","Performance Fee","Performance Fee Note","Redemption Fee","Hurdle Rate","High Watermark","Beta Hedge Extent"
"34","AJW Partners II LLC Class B","US Dollar",NA,"FHUSA04BLA","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"U.S. Small Cap Equity-o","United States","Partnership (3C1)","The NIR Group",NA,1999-01-04,2011-09-19,0,NA,"[1999-01-04 -- 2011-09-19] Corey Ribotsky;[1999-01-04 -- 2011-09-19] Lloyd Groveman;[2008-05-14 -- 2011-09-19] Karim Rozwadowski;",NA,NA,NA,2009-09-30,61268418,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,"Monetary",NA,NA,2,NA,20,NA,0,NA,"No",NA
"35","Ascend Fund LP","US Dollar",NA,"FHUSA04H88","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Partnership (3C1)","Morrison & Frazier LLC",NA,1996-01-01,2010-05-21,0,NA,"[1996-01-01 -- 2010-05-21] Richard H. Morrison;[1996-01-01 -- 2010-05-21] Robert B. Green;",NA,NA,"S&P 500 TR USD",2009-10-31,2.2e+07,NA,NA,2006-12-31,NA,NA,NA,NA,NA,0,5e+05,"Monetary","Yes",0,1.75,1.75,0,NA,NA,NA,"No",NA
"36","Ascend Partners Fund I LP","US Dollar",NA,"FHUSA04GHI","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity - L/S Opportunistic-o","United States","Partnership (3C1)","Ascend Capital LLC","Ascend",2000-01-01,2018-02-23,0,NA,"[2000-01-01 -- 2018-02-23] Malcolm Fairbairn",NA,NA,"S&P 500 PR",2015-12-31,7129805,NA,NA,NA,2006-12-31,400,NA,NA,NA,12,5e+05,"Monetary","Yes",0,1.5,1.5,20,NA,NA,NA,"Yes","Partial"
"37","Algert U.S. Large Cap Active Extension","US Dollar",NA,"FOUSA06U6U","Alternative","HF U.S. Long/Short Equity","Since inception Algert Global’s business objectives have been:
1)	To earn consistently superior investment returns for clients
2)	To foster creativity and attract the highest level of talent
3)	To align employee incentive with client results

Our target client base is institutional investors who believe that small managers, given well-structured incentives, have a competitive edge over large shops.","U.S. Large Cap 130/30-o","United States","Managed Account","Algert Global LLC","Algert",2009-10-01,2015-07-30,0,"Peter Algert","[2006-11-30 -- ] Peter Algert;[2006-11-30 -- 2014-06-30] Kevin Coldiron;[2006-11-30 -- 2009-11-30] Jonas Svallin;",13.83,13.83,NA,2015-06-30,466000,NA,NA,2008-12-31,2008-12-31,250,NA,"Male",2006-11-30,0,1e+06,"Monetary",NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA
"38","Alkeon Asia Growth LP","US Dollar",NA,"FOUSA06NVZ","Alternative","HF Asia/Pacific Long/Short Equity",NA,"Equity, Developed Asia-o","United States","Partnership (3C7)","Alkeon Capital Management",NA,2007-08-01,2012-12-03,0,NA,NA,NA,NA,NA,2012-07-31,27077569,NA,NA,NA,NA,NA,NA,NA,NA,12,1e+06,"Monetary",NA,NA,1.5,1.5,20,NA,NA,NA,NA,NA
"39","Alkeon Global Alpha Offshore-Market Neut","US Dollar",NA,"FOUSA07UTC","Alternative","HF Global Long/Short Equity",NA,"Multi-Strategy-o","United States","Partnership (3C1)","Alkeon Capital Management",NA,2008-07-01,2013-03-21,0,NA,NA,NA,NA,NA,2012-07-31,13800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Ascend Partners Fund I Ltd","US Dollar",NA,"FOUSA05KX2","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity - L/S Opportunistic-o","British Virgin Islands","Corporation","Ascend Capital LLC","Ascend",2000-06-01,2018-02-23,0,NA,"[2000-06-01 -- 2018-02-23] Malcolm Fairbairn",NA,NA,NA,2015-12-31,91577880,NA,NA,NA,2006-12-31,400,NA,NA,NA,0,5e+05,"Monetary","Yes",0,1.5,1.5,20,NA,3,NA,"Yes","Partial"
"41","Alpha Enhanced Index","US Dollar",NA,"F00000H3OM","Equity","HF Long-Only Equity",NA,"None-o","United States","Limited Liability Company","RK Investment Advisors, LLC","Peak 6",2005-11-03,2012-06-29,0,NA,"[2005-11-03 -- 2012-06-29] Randy Kurtz",NA,NA,NA,NA,NA,NA,NA,2009-12-31,2009-12-31,10,NA,NA,NA,0,250000,"Monetary",NA,NA,0,NA,1,NA,0,NA,"No",NA
"42","Asia Century Fund","US Dollar",NA,"FHUSA04EAX","Equity","HF Long-Only Equity",NA,"Developed Asia Equity-o","Mauritius","Limited Liability Company","Heritage Capital Mgt Pte Ltd",NA,1998-07-01,2013-05-30,0,NA,"[1998-07-01 -- 2013-05-30] Wing Chan;[2005-10-01 -- 2013-05-30] Boon Hiong;",NA,NA,"MSCI AC Far East Ex Japan PR USD",2013-04-30,22300000,NA,NA,2008-12-31,2008-12-31,50,NA,NA,NA,0,1e+05,"Monetary","No",0,1,1,15,NA,NA,0,"Yes",NA
"43","Alpha Equity International 130/30 Fd LP","US Dollar",NA,"FHUSA04GAN","Alternative","HF Global Long/Short Equity",NA,"Global Equity-o","United States","Partnership (3C1)","Alpha Equity Management LLC","Alpha Equity",2001-06-01,2012-01-13,0,NA,NA,NA,NA,NA,2011-03-31,2418683,NA,NA,NA,NA,NA,NA,NA,NA,12,5e+05,"Monetary",NA,NA,1,NA,20,NA,0,NA,"Yes","Full"
"44","Alpha Equity International Mkt Neu Fd","US Dollar",NA,"FHUSA04GAM","Alternative","HF Global Long/Short Equity",NA,"Global Equity-o","United States","Unstructured Hedge Fund","Alpha Equity Management LLC","Alpha Equity",2004-01-02,2012-01-13,0,NA,NA,NA,NA,NA,2011-03-31,2744385,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,"Monetary",NA,NA,1,NA,20,NA,0,NA,NA,"Full"
"45","Attalus Long-Short Equity Fund, Ltd.","US Dollar",NA,"FOUSA05KXC","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds - L/S-o","Cayman Islands","Corporation","Attalus Capital, LP",NA,2001-02-01,2013-08-27,0,NA,"[2001-02-01 -- 2013-08-27] Patrick C. Egan",NA,NA,"S&P 500 Composite PR USD",2012-12-31,294505365,NA,NA,2011-12-31,2011-12-31,47.29,NA,NA,NA,12,2e+06,"Monetary","No",0,0.75,1,10,NA,0,NA,"Yes",NA
